id_steam,name_imdb,name_steam,positive,negative,estimated_owners_min,estimated_owners_max
1697700,Who's Lila?,Who's Lila?,2 420,125,200 000,500 000
1206560,WorldBox - God Simulator,WorldBox - God Simulator,38 114,2 103,1 000 000,2 000 000
2420350,The Mildew Children,The Mildew Children,265,17,0,20 000
643870,Kitten adventures in city park,Kitten Adventures in City Park,583,41,20 000,50 000
1761780,Creepy Tale 3: Ingrid Penance,Creepy Tale 3: Ingrid Penance,655,49,50 000,100 000
1792250,Serious Sam: Siberian Mayhem,Serious Sam: Siberian Mayhem,4 006,322,200 000,500 000
817490,Viki Spotter: Around the World,,72,6,0,20 000
475550,Beholder,Beholder,24 245,2 217,1 000 000,2 000 000
1272160,The Life and Suffering of Sir Brante,The Life and Suffering of Sir Brante,7 532,781,200 000,500 000
690930,Evening Surprise,Evening Surprise,646,74,20 000,50 000
1603860,The Frosts: First Ones,The Frosts: First Ones,52,6,20 000,50 000
1090390,House of 1000 Doors: Serpent Flame,House of 1000 Doors: Serpent Flame,95,11,0,20 000
608660,Psebay,Psebay,104,13,20 000,50 000
831470,One Dollar Simulator,One Dollar Simulator,63,8,0,20 000
574310,The Mooseman,The Mooseman,974,125,50 000,100 000
719750,PUSS!,PUSS!,1 285,179,50 000,100 000
761620,Beholder 2,Beholder 2,6 003,844,500 000,1 000 000
447290,Redeemer,Redeemer: Enhanced Edition,2 614,376,200 000,500 000
15280,Pacific Fighters,IL-2 Sturmovik: 1946,1 355,198,0,20 000
1245430,Golden Light,Golden Light,2 747,422,0,20 000
859570,Secret Neighbor,Secret Neighbor: Hello Neighbor Multiplayer,15 825,2 474,1 000 000,2 000 000
620530,Mirt. Tales of the Cold Land,,205,33,2 000 000,5 000 000
764510,Phantom Signal,Phantom Signal — Sci-Fi Strategy Game,129,21,50 000,100 000
739080,9 Monkeys of Shaolin,9 Monkeys of Shaolin,694,114,100 000,200 000
530890,Haydee,Haydee,5 473,980,200 000,500 000
1486950,The Underground Man 2,The Underground Man 2,117,21,20 000,50 000
1227280,Despot's Game,Despot's Game: Dystopian Battle Simulator,2 654,488,100 000,200 000
530330,Blameless,Blameless,4 150,784,500 000,1 000 000
657200,Hand Simulator,Hand Simulator,30 631,5 856,1 000 000,2 000 000
489360,CASE: Animatronics,CASE: Animatronics,3 240,644,200 000,500 000
521890,Hello Neighbor,Hello Neighbor,15 348,3 104,500 000,1 000 000
740200,The Mercury Man,The Mercury Man,482,98,100 000,200 000
738520,Breathedge,Breathedge,12 128,2 570,500 000,1 000 000
1227530,Partisans 1941,Partisans 1941,6 591,1 415,200 000,500 000
668580,Atomic Heart,Atomic Heart,29 147,6 262,1 000 000,2 000 000
722960,CASE 2: Animatronics Survival,CASE 2: Animatronics Survival,2 553,560,100 000,200 000
567140,Mahjong Magic Journey,Mahjong Magic Journey,110,25,20 000,50 000
612170,One Eyed Kutkh,One Eyed Kutkh,108,26,200 000,500 000
2051620,Enlisted,Enlisted,18 776,4 600,500 000,1 000 000
552970,Sumoman,Sumoman,491,123,50 000,100 000
513230,The Underground Man,The Underground Man,1 112,279,200 000,500 000
10130,TimeShift,TimeShift™,1 056,269,100 000,200 000
1392600,Kazakh Drive,Kazakh Drive,180,46,0,20 000
587420,Cart Racer,Cart Racer,793,218,50 000,100 000
640820,Pathfinder: Kingmaker,Pathfinder: Kingmaker — Enhanced Plus Edition,25 758,7 319,2 000 000,5 000 000
2742150,MUZY,MUZY,85,25,0,20 000
552990,World of Warships,World of Warships,111 284,33 112,10 000 000,20 000 000
826600,I am not a Monster: First Contact,I am not a Monster: First Contact,963,289,20 000,50 000
