name_imdb,release_year,imdb_score,rew_amount
Requital: Revenge of a Hero,2006,,
Revenge,2012,"5,1",26
Riddles of Fate: Wild Hunt (Collector's Edition),2013,,
Rig 'n' Roll,2009,"7,8",20
Rise of Flight: The First Great Air War,2009,,
Road to Hell,2013,"6,1",30
Robinson,2013,,
S2: Silent Storm,2003,"7,7",25
Sacra Terra: Kiss of Death,2013,,
Sanitary Podzemeliy 2: Ohota za Chornym Kvadratom,2008,,
Sea Dogs,2000,"7,6",44
Secret Neighbor,2019,"4,6",111
Secrets of Great Queens: Old Tower,2016,,
Secrets of Great Queens: Regicide,2018,,
Seizure,2020,,
Serious Sam: Siberian Mayhem,2022,"6,7",95
Shadow Fight 2,2013,"7,9",224
Silver Chains,2019,"6,0",29
Skyforge,2015,"6,4",40
Skyhill: Black Mist,2020,,
Sledgehammer,2008,"4,4",13
Soccer Tactics,2013,,
Sonic Omens,2020,"5,9",67
Sonnyy ad,2014,"7,7",41
Space Rangers 2: Rise of the Dominators,2004,"7,7",23
Spasti Snippy,2014,"7,3",34
Spirit Legends: The Aeon Heart,2021,,
Star Conflict,2012,,
Star Wolves 3: Civil War,2009,,
Su-27 Flanker,1995,,
Sublustrum,2008,"6,6",12
Sudden Strike 2,2002,"7,1",16
Sudden Strike 3: Arms for Victory,2007,"5,4",7
Sudden Strike: Противостояние III,2000,"7,3",49
Sumoman,2017,,
Swelter,2023,,
Swordbreaker,2018,"4,4",13
The Abandoned,2015,,
The Age of Decadence,2015,"6,4",19
The Christmas Spirit: Grimm Tales,2019,,
The Day Before,2023,"1,6",71
The Elder Scrolls V: Skyrim - Carved Brink,2019,"5,2",17
The Elder Scrolls V: Skyrim - Project AHO,2018,"6,3",17
The Frosts: First Ones,2021,,
The Impish Monkey,2016,,
The Life and Suffering of Sir Brante,2021,"8,2",38
The Living and the Dead,2018,,
The Mercury Man,2018,,
The Mildew Children,2024,,
The Mooseman,2017,"6,6",9
The Saint: Abyss of Despair,2013,,
The Tomorrow War,2006,,
The Tomorrow War: Factor K,2007,,
The Uncertain: Last Quiet Day,2016,"5,8",19
The Underground Man,2016,,
The Underground Man 2,2022,,
There Is No Light: Enhanced Edition,2022,,
TimeShift,2007,"7,0",554
To Bee or Not to Bear?,2012,,
Today Is My Birthday,2020,"4,9",7
Tolstoy dolzhen umeret',2014,"6,2",36
Township,2013,"5,4",19
Tralik i Valik,2009,,
Treasures of the Ancient Cavern,2008,,
Turtle Odyssey 2,2007,"7,0",6
ÜberSoldier,2006,"6,1",18
ÜberSoldier II,2008,"7,9",10
Under the pillow,2021,,
Unfinished Tales: Illicit Love Collector's Edition,2012,,
UnnyWorld,2017,,
Utopia City,2005,,
Vangers,1998,"8,3",19
Viki Spotter: Around the World,2018,,
Viki Spotter: Camping,2018,,
Viki Spotter: Megapolis,2018,,
Viki Spotter: Professions,2018,,
Viki Spotter: School,2018,,
Viki Spotter: Shopping,2018,,
